Designator,Mid X,Mid Y,Rotation,Layer
C1,188.125,-104.575,180.0,top
C2,185.075,-107.575,90.0,top
C3,182.625,-114.575,0.0,top
C4,182.625,-112.075,0.0,top
C5,194.075,-106.575,180.0,top
C6,185.575,-116.575,90.0,top
C7,188.575,-120.075,270.0,top
C8,191.075,-120.075,270.0,top
D1,223.58,-93.075,180.0,top
FB1,185.575,-112.575,90.0,top
J1,197.305,-78.345,90.0,top
J2,197.305,-130.345,90.0,top
J3,195.825,-139.055,0.0,top
J4,221.825,-139.075,0.0,top
J5,97.0,-127.75,0.0,top
J7,70.5,-101.5,270.0,top
LS1,97.0,-124.1,0.0,top
MOUSE-BITE-2MM-SLOT,150.575,-98.075,0.0,top
MOUSE-BITE-2MM-SLOT1,160.575,-98.075,0.0,top
MOUSE-BITE-2MM-SLOT2,170.575,-98.075,0.0,top
MOUSE-BITE-2MM-SLOT3,180.575,-98.075,0.0,top
MOUSE-BITE-2MM-SLOT4,190.575,-98.075,0.0,top
MOUSE-BITE-2MM-SLOT5,200.575,-98.075,0.0,top
MOUSE-BITE-2MM-SLOT6,210.575,-98.075,0.0,top
MOUSE-BITE-2MM-SLOT7,220.575,-98.075,0.0,top
MOUSE-BITE-2MM-SLOT8,230.575,-98.075,0.0,top
R1,194.075,-110.575,180.0,top
R10,201.6625,-68.075,180.0,top
R2,194.075,-108.575,180.0,top
R3,194.575,-116.075,0.0,top
R4,179.575,-78.075,0.0,top
R5,179.575,-80.075,180.0,top
R6,207.575,-72.075,180.0,top
R7,207.575,-70.075,180.0,top
R8,207.6625,-68.075,180.0,top
R9,222.075,-88.575,0.0,top
SW1,182.575,-93.575,0.0,top
SW2,151.825,-74.825,0.0,top
SW3,151.825,-83.075,0.0,top
SW4,151.825,-91.325,0.0,top
U1,177.815,-57.2566,0.0,top
U2,173.96,-81.725,90.0,top
U3,222.075,-64.075,180.0,top
U4,161.645,-110.4316,270.0,top
U5,188.1375,-107.575,180.0,top
U6,189.375,-114.625,90.0,top
U7,232.765,-122.44,270.0,top
U8,97.010069,-73.918279,0.0,top
